asdf_id,worldpop_pop_count_1km_mosaic.2000.sum,worldpop_pop_count_1km_mosaic.2000.count,worldpop_pop_count_1km_mosaic.2001.sum,worldpop_pop_count_1km_mosaic.2001.count,worldpop_pop_count_1km_mosaic.2003.sum,worldpop_pop_count_1km_mosaic.2003.count,worldpop_pop_count_1km_mosaic.2002.sum,worldpop_pop_count_1km_mosaic.2002.count,worldpop_pop_count_1km_mosaic.2005.sum,worldpop_pop_count_1km_mosaic.2005.count,worldpop_pop_count_1km_mosaic.2004.sum,worldpop_pop_count_1km_mosaic.2004.count,worldpop_pop_count_1km_mosaic.2006.sum,worldpop_pop_count_1km_mosaic.2006.count,worldpop_pop_count_1km_mosaic.2008.sum,worldpop_pop_count_1km_mosaic.2008.count,worldpop_pop_count_1km_mosaic.2007.sum,worldpop_pop_count_1km_mosaic.2007.count,worldpop_pop_count_1km_mosaic.2009.sum,worldpop_pop_count_1km_mosaic.2009.count,worldpop_pop_count_1km_mosaic.2010.sum,worldpop_pop_count_1km_mosaic.2010.count,worldpop_pop_count_1km_mosaic.2011.sum,worldpop_pop_count_1km_mosaic.2011.count,worldpop_pop_count_1km_mosaic.2012.sum,worldpop_pop_count_1km_mosaic.2012.count,worldpop_pop_count_1km_mosaic.2013.sum,worldpop_pop_count_1km_mosaic.2013.count,worldpop_pop_count_1km_mosaic.2014.sum,worldpop_pop_count_1km_mosaic.2014.count,worldpop_pop_count_1km_mosaic.2015.sum,worldpop_pop_count_1km_mosaic.2015.count,worldpop_pop_count_1km_mosaic.2016.sum,worldpop_pop_count_1km_mosaic.2016.count,worldpop_pop_count_1km_mosaic.2017.sum,worldpop_pop_count_1km_mosaic.2017.count,worldpop_pop_count_1km_mosaic.2018.sum,worldpop_pop_count_1km_mosaic.2018.count,worldpop_pop_count_1km_mosaic.2019.sum,worldpop_pop_count_1km_mosaic.2019.count,worldpop_pop_count_1km_mosaic.2020.sum,worldpop_pop_count_1km_mosaic.2020.count,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
10,76492.3125,637.619995117,77978.921875,637.619995117,83833.21875,637.619995117,81747.125,637.619995117,92543.4921875,637.619995117,86785.734375,637.619995117,98606.875,637.619995117,102351.203125,637.619995117,101009.570312,637.619995117,106458.65625,637.619995117,107664.546875,637.619995117,114053.78125,637.619995117,120544.71875,637.619995117,125497.78125,637.619995117,129426.1875,637.619995117,134824.875,637.619995117,141522.1875,637.619995117,148411.640625,637.619995117,154149.8125,637.619995117,160868.015625,637.619995117,167438.65625,637.619995117,ADM2,10,10,DOM,DOM-ADM2-62336421B40996189,Baní,ADM2
11,68234.734375,149.600006104,69774.8984375,149.600006104,72824.234375,149.600006104,70971.0625,149.600006104,76287.6640625,149.600006104,74508.8046875,149.600006104,78147.21875,149.600006104,81665.453125,149.600006104,79770.7734375,149.600006104,82438.90625,149.600006104,84285.3203125,149.600006104,86889.578125,149.600006104,88381.5625,149.600006104,90835.609375,149.600006104,92880.6640625,149.600006104,95113.8671875,149.600006104,97233.0703125,149.600006104,98716.03125,149.600006104,101600.1875,149.600006104,103986.515625,149.600006104,106330.84375,149.600006104,ADM2,11,11,DOM,DOM-ADM2-62336421B92290454,Villa Hermosa,ADM2
12,24365.8007812,348.529998779,23841.8828125,348.529998779,23159.3359375,348.529998779,23492.3007812,348.529998779,22271.7304688,348.529998779,22661.6796875,348.529998779,21892.34375,348.529998779,21269.9023438,348.529998779,21561.9902344,348.529998779,20958.8242188,348.529998779,20562.6191406,348.529998779,20332.6289062,348.529998779,19974.5957031,348.529998779,19634.0898438,348.529998779,19244.6054688,348.529998779,18914.6113281,348.529998779,18549.6992188,348.529998779,18234.6191406,348.529998779,17890.0488281,348.529998779,17583.078125,348.529998779,17283.7167969,348.529998779,ADM2,12,12,DOM,DOM-ADM2-62336421B96628190,El Cercado,ADM2
13,6021.93212891,102.439994812,5951.35449219,102.439994812,5906.73632812,102.439994812,6015.20654297,102.439994812,5791.90917969,102.439994812,5882.94335938,102.439994812,5708.73535156,102.439994812,5692.8515625,102.439994812,5704.81835938,102.439994812,5842.48388672,102.439994812,5779.97998047,102.439994812,5842.98388672,102.439994812,5860.87451172,102.439994812,5887.66748047,102.439994812,5901.4296875,102.439994812,5923.62890625,102.439994812,5942.59179688,102.439994812,5945.06689453,102.439994812,5913.07763672,102.439994812,5937.72167969,102.439994812,5913.4765625,102.439994812,ADM2,13,13,DOM,DOM-ADM2-62336421B60125690,Eugenio María De Hostos,ADM2
14,5746.515625,510.259979248,5806.10400391,510.259979248,5837.94873047,510.259979248,5832.93505859,510.259979248,6072.14160156,510.259979248,6126.27832031,510.259979248,6230.07763672,510.259979248,6100.63671875,510.259979248,6205.63037109,510.259979248,6314.07275391,510.259979248,6377.82910156,510.259979248,6363.16943359,510.259979248,6521.30566406,510.259979248,6980.41552734,510.259979248,7128.09472656,510.259979248,7005.13378906,510.259979248,7123.81835938,510.259979248,7246.93115234,510.259979248,7252.23486328,510.259979248,7344.42773438,510.259979248,7404.60351562,510.259979248,ADM2,14,14,DOM,DOM-ADM2-62336421B62065221,Bohechío,ADM2
15,11609.46875,184.910003662,11643.5351562,184.910003662,11711.4873047,184.910003662,11702.8378906,184.910003662,11841.5146484,184.910003662,11819.3457031,184.910003662,11724.1357422,184.910003662,11677.203125,184.910003662,11616.0644531,184.910003662,11724.1542969,184.910003662,11744.9775391,184.910003662,11658.6582031,184.910003662,11753.9140625,184.910003662,11825.9082031,184.910003662,11950.9335938,184.910003662,12004.4921875,184.910003662,11976.6669922,184.910003662,12010.1289062,184.910003662,12092.6875,184.910003662,12082.8359375,184.910003662,12144.5214844,184.910003662,ADM2,15,15,DOM,DOM-ADM2-62336421B63865508,Arenoso,ADM2
16,10947.0771484,347.119995117,11500.1601562,347.119995117,12439.0810547,347.119995117,11870.8164062,347.119995117,13531.7373047,347.119995117,12974.8808594,347.119995117,14233.7050781,347.119995117,15582.8066406,347.119995117,14852.2929688,347.119995117,16066.4853516,347.119995117,16901.1191406,347.119995117,17530.2988281,347.119995117,18064.6191406,347.119995117,18985.640625,347.119995117,19967.7617188,347.119995117,20964.7304688,347.119995117,21792.2402344,347.119995117,22728.2402344,347.119995117,23760.8242188,347.119995117,24771.3085938,347.119995117,25910.6289062,347.119995117,ADM2,16,16,DOM,DOM-ADM2-62336421B3706850,Tábara Arriba,ADM2
17,24855.8300781,310.119995117,23830.3007812,310.119995117,23279.2402344,310.119995117,23479.2207031,310.119995117,23161.0273438,310.119995117,22978.8613281,310.119995117,23304.2421875,310.119995117,24196.046875,310.119995117,23691.359375,310.119995117,24883.4941406,310.119995117,25433.2695312,310.119995117,26160.7167969,310.119995117,26763.5019531,310.119995117,27742.8398438,310.119995117,28383.0214844,310.119995117,29553.0,310.119995117,30451.8710938,310.119995117,31555.7851562,310.119995117,33095.5234375,310.119995117,34676.6679688,310.119995117,36383.0859375,310.119995117,ADM2,17,17,DOM,DOM-ADM2-62336421B51467128,Vicente Noble,ADM2
18,30409.9179688,167.220001221,30265.9375,167.220001221,29707.6621094,167.220001221,29948.3046875,167.220001221,29472.0351562,167.220001221,29498.9277344,167.220001221,29057.7226562,167.220001221,28797.1035156,167.220001221,28957.5371094,167.220001221,28568.4296875,167.220001221,28519.828125,167.220001221,28582.671875,167.220001221,28455.8046875,167.220001221,28317.0859375,167.220001221,28216.5351562,167.220001221,28077.2421875,167.220001221,27960.8105469,167.220001221,27844.9160156,167.220001221,27610.2617188,167.220001221,27485.5800781,167.220001221,27338.8007812,167.220001221,ADM2,18,18,DOM,DOM-ADM2-62336421B81143522,Consuelo,ADM2
19,53928.84375,79.3600006104,53570.859375,79.3600006104,54291.2695312,79.3600006104,54383.5195312,79.3600006104,54509.71875,79.3600006104,54550.4609375,79.3600006104,54614.1679688,79.3600006104,54641.234375,79.3600006104,54293.3046875,79.3600006104,55292.4296875,79.3600006104,55268.0546875,79.3600006104,55613.5976562,79.3600006104,55789.21875,79.3600006104,56279.1328125,79.3600006104,56425.5664062,79.3600006104,56669.4726562,79.3600006104,57021.1054688,79.3600006104,57040.8359375,79.3600006104,57124.3867188,79.3600006104,57314.9609375,79.3600006104,57560.375,79.3600006104,ADM2,19,19,DOM,DOM-ADM2-62336421B77754311,Puñal,ADM2
20,4254.39941406,129.869995117,4238.00488281,129.869995117,4225.6875,129.869995117,4224.81542969,129.869995117,4175.23730469,129.869995117,4198.02050781,129.869995117,4167.9140625,129.869995117,4192.96044922,129.869995117,4149.0234375,129.869995117,4134.16650391,129.869995117,4161.75244141,129.869995117,4151.33007812,129.869995117,4106.88378906,129.869995117,4070.82226562,129.869995117,4118.07568359,129.869995117,4132.32519531,129.869995117,4060.34130859,129.869995117,4041.56542969,129.869995117,4052.3515625,129.869995117,4041.67285156,129.869995117,4029.53881836,129.869995117,ADM2,20,20,DOM,DOM-ADM2-62336421B7031628,Juan Santiago,ADM2
21,7141.26367188,241.949996948,7288.01269531,241.949996948,7637.64355469,241.949996948,7491.171875,241.949996948,8004.09033203,241.949996948,7790.44287109,241.949996948,8142.81738281,241.949996948,8529.15136719,241.949996948,8328.50390625,241.949996948,8660.14746094,241.949996948,9011.49414062,241.949996948,9189.29003906,241.949996948,9406.9375,241.949996948,9577.54101562,241.949996948,9738.01367188,241.949996948,10021.2001953,241.949996948,10268.3671875,241.949996948,10443.1347656,241.949996948,10679.7470703,241.949996948,10950.6875,241.949996948,11264.3154297,241.949996948,ADM2,21,21,DOM,DOM-ADM2-62336421B66400184,La Descubierta,ADM2
22,87795.375,176.649993896,91982.1953125,176.649993896,100169.0,176.649993896,95824.5,176.649993896,109819.390625,176.649993896,104758.296875,176.649993896,114784.078125,176.649993896,125363.6875,176.649993896,120401.40625,176.649993896,130136.25,176.649993896,135269.65625,176.649993896,142553.125,176.649993896,148601.734375,176.649993896,155426.140625,176.649993896,162098.03125,176.649993896,170204.90625,176.649993896,178278.375,176.649993896,186489.28125,176.649993896,194421.65625,176.649993896,203716.0625,176.649993896,212535.125,176.649993896,ADM2,22,22,DOM,DOM-ADM2-62336421B75913994,Boca Chica,ADM2
23,25391.6601562,203.25,25603.2597656,203.25,26023.4003906,203.25,25765.7636719,203.25,26369.453125,203.25,26165.8242188,203.25,26594.6679688,203.25,27024.5625,203.25,26872.3085938,203.25,27264.7773438,203.25,27546.0253906,203.25,27746.7324219,203.25,28031.4941406,203.25,28356.6191406,203.25,28613.3847656,203.25,28788.53125,203.25,28991.5507812,203.25,29306.515625,203.25,29535.2109375,203.25,29774.21875,203.25,30070.6132812,203.25,ADM2,23,23,DOM,DOM-ADM2-62336421B90226291,Tenares,ADM2
24,18897.8144531,92.9900054932,18993.0957031,92.9900054932,19191.671875,92.9900054932,18929.2578125,92.9900054932,19740.9746094,92.9900054932,19414.2421875,92.9900054932,19647.9570312,92.9900054932,19767.7207031,92.9900054932,19628.0996094,92.9900054932,20294.9394531,92.9900054932,20273.6132812,92.9900054932,20626.8808594,92.9900054932,20305.8027344,92.9900054932,20409.5625,92.9900054932,20751.0761719,92.9900054932,20837.1484375,92.9900054932,20930.6328125,92.9900054932,21166.0996094,92.9900054932,21344.7089844,92.9900054932,21597.4804688,92.9900054932,21802.7050781,92.9900054932,ADM2,24,24,DOM,DOM-ADM2-62336421B83253583,Villa Montellano,ADM2
25,41094.0820312,340.299987793,41328.3554688,340.299987793,42187.5507812,340.299987793,41721.6015625,340.299987793,43243.3359375,340.299987793,42662.2617188,340.299987793,43657.0351562,340.299987793,44658.65625,340.299987793,44175.5429688,340.299987793,45442.46875,340.299987793,46105.359375,340.299987793,46679.1953125,340.299987793,47121.8945312,340.299987793,47644.7695312,340.299987793,48331.3007812,340.299987793,48901.2226562,340.299987793,49311.3710938,340.299987793,49906.9609375,340.299987793,50628.9296875,340.299987793,51234.140625,340.299987793,51876.8203125,340.299987793,ADM2,25,25,DOM,DOM-ADM2-62336421B36707931,Sosúa,ADM2
26,6958.45703125,308.479980469,7165.72314453,308.479980469,7468.67089844,308.479980469,7316.72314453,308.479980469,8117.58837891,308.479980469,7859.20800781,308.479980469,8393.06445312,308.479980469,9251.36328125,308.479980469,8751.71386719,308.479980469,9509.54492188,308.479980469,9982.51171875,308.479980469,10441.5742188,308.479980469,11081.3349609,308.479980469,11473.1923828,308.479980469,12043.0976562,308.479980469,12570.2753906,308.479980469,13192.515625,308.479980469,13897.390625,308.479980469,14562.6308594,308.479980469,15324.4414062,308.479980469,16173.6923828,308.479980469,ADM2,26,26,DOM,DOM-ADM2-62336421B93961828,Las Charcas,ADM2
27,13923.7539062,112.279998779,14251.6035156,112.279998779,14368.0195312,112.279998779,13488.296875,112.279998779,14799.9296875,112.279998779,14476.953125,112.279998779,14782.3095703,112.279998779,14758.484375,112.279998779,14868.9941406,112.279998779,14447.4023438,112.279998779,14837.1679688,112.279998779,14832.5664062,112.279998779,15293.7470703,112.279998779,15532.921875,112.279998779,15258.0957031,112.279998779,15152.2441406,112.279998779,15354.5849609,112.279998779,15488.6367188,112.279998779,15588.875,112.279998779,15728.5410156,112.279998779,15821.2890625,112.279998779,ADM2,27,27,DOM,DOM-ADM2-62336421B38836089,Castañuelas,ADM2
28,56985.625,844.929992676,57034.3671875,844.929992676,56942.1679688,844.929992676,56938.1328125,844.929992676,56900.0234375,844.929992676,57009.40625,844.929992676,56904.890625,844.929992676,56813.15625,844.929992676,56837.0703125,844.929992676,56887.2929688,844.929992676,56899.9296875,844.929992676,56811.171875,844.929992676,56961.1835938,844.929992676,56872.0703125,844.929992676,57016.7890625,844.929992676,57143.7070312,844.929992676,56920.7226562,844.929992676,56887.8671875,844.929992676,56891.859375,844.929992676,56884.953125,844.929992676,56874.4765625,844.929992676,ADM2,28,28,DOM,DOM-ADM2-62336421B5029861,Jarabacoa,ADM2
29,19908.4804688,161.149993896,20766.4355469,161.149993896,22643.5839844,161.149993896,21715.4003906,161.149993896,24682.7988281,161.149993896,23643.2578125,161.149993896,25945.5527344,161.149993896,28673.0058594,161.149993896,27333.3398438,161.149993896,30076.1210938,161.149993896,31789.7539062,161.149993896,33414.7890625,161.149993896,35528.3320312,161.149993896,37675.484375,161.149993896,39639.8789062,161.149993896,41994.5351562,161.149993896,44690.7890625,161.149993896,47539.9140625,161.149993896,50693.1328125,161.149993896,54101.4140625,161.149993896,57835.3828125,161.149993896,ADM2,29,29,DOM,DOM-ADM2-62336421B55956095,Jima Abajo,ADM2
30,18116.9804688,155.660003662,18182.8242188,155.660003662,18145.0976562,155.660003662,18040.1816406,155.660003662,18037.796875,155.660003662,18143.0058594,155.660003662,17987.5253906,155.660003662,17854.234375,155.660003662,17873.6816406,155.660003662,17839.9394531,155.660003662,17752.3828125,155.660003662,17757.7890625,155.660003662,17734.0996094,155.660003662,17706.8847656,155.660003662,17597.0449219,155.660003662,17536.1171875,155.660003662,17499.2128906,155.660003662,17446.4277344,155.660003662,17406.8808594,155.660003662,17351.875,155.660003662,17310.1503906,155.660003662,ADM2,30,30,DOM,DOM-ADM2-62336421B23343019,Pimentel,ADM2
31,31116.2207031,545.600036621,32170.8808594,545.600036621,34846.3164062,545.600036621,33330.0390625,545.600036621,38088.1796875,545.600036621,36597.234375,545.600036621,39060.3789062,545.600036621,41786.984375,545.600036621,40441.3945312,545.600036621,43672.453125,545.600036621,45372.7695312,545.600036621,47420.0117188,545.600036621,48953.984375,545.600036621,50787.9765625,545.600036621,52795.515625,545.600036621,54898.046875,545.600036621,57054.625,545.600036621,59270.8203125,545.600036621,61680.203125,545.600036621,64203.40625,545.600036621,66687.09375,545.600036621,ADM2,31,31,DOM,DOM-ADM2-62336421B66064530,Yamasá,ADM2
32,12953.1230469,76.0599975586,13021.4345703,76.0599975586,13188.6542969,76.0599975586,13271.4472656,76.0599975586,13972.7607422,76.0599975586,13443.0107422,76.0599975586,14047.2988281,76.0599975586,14290.9316406,76.0599975586,14046.9951172,76.0599975586,14424.5898438,76.0599975586,14584.5849609,76.0599975586,14911.4091797,76.0599975586,14596.4550781,76.0599975586,14900.0761719,76.0599975586,15020.0791016,76.0599975586,15186.3642578,76.0599975586,15424.5175781,76.0599975586,15523.1806641,76.0599975586,15751.5234375,76.0599975586,15894.9580078,76.0599975586,16171.2109375,76.0599975586,ADM2,32,32,DOM,DOM-ADM2-62336421B72763564,Sabana Iglesia,ADM2
33,33292.7304688,329.979980469,33647.4609375,329.979980469,34833.3671875,329.979980469,34870.7929688,329.979980469,35727.125,329.979980469,35443.2265625,329.979980469,35954.484375,329.979980469,37242.25,329.979980469,36421.8476562,329.979980469,37974.125,329.979980469,38305.9648438,329.979980469,39991.8671875,329.979980469,41981.9023438,329.979980469,41783.6328125,329.979980469,44276.796875,329.979980469,44385.5390625,329.979980469,44108.140625,329.979980469,47690.765625,329.979980469,47557.6328125,329.979980469,49079.0507812,329.979980469,52525.2109375,329.979980469,ADM2,33,33,DOM,DOM-ADM2-62336421B46473536,Dajabón,ADM2
34,6926.91992188,236.470001221,7033.16455078,236.470001221,7406.04931641,236.470001221,7248.61914062,236.470001221,7874.20605469,236.470001221,7679.90380859,236.470001221,8088.31201172,236.470001221,8510.91308594,236.470001221,8303.078125,236.470001221,8689.84863281,236.470001221,9083.28125,236.470001221,9199.81347656,236.470001221,9510.61523438,236.470001221,9800.47753906,236.470001221,10174.5029297,236.470001221,10506.6679688,236.470001221,10752.25,236.470001221,11052.5791016,236.470001221,11389.8164062,236.470001221,11681.2197266,236.470001221,12060.8203125,236.470001221,ADM2,34,34,DOM,DOM-ADM2-62336421B618112,Los Cacaos,ADM2
35,inf,53.9799995422,3187.04882812,45.2200012207,3280.05493164,45.2200012207,3219.60693359,45.2200012207,3332.32202148,45.2200012207,3265.44287109,45.2200012207,3415.92285156,45.2200012207,3395.75488281,45.2200012207,3440.78369141,45.2200012207,3301.95678711,45.2200012207,3453.26708984,45.2200012207,3449.06494141,45.2200012207,3411.79882812,45.2200012207,3391.15332031,45.2200012207,3396.57861328,45.2200012207,3509.01708984,45.2200012207,3472.77978516,45.2200012207,3541.79248047,45.2200012207,3621.30493164,45.2200012207,3765.33105469,45.2200012207,3870.21166992,45.2200012207,ADM2,35,35,DOM,DOM-ADM2-62336421B67134057,El Peñón,ADM2
36,23266.71875,114.850006104,23291.8710938,114.850006104,23094.8652344,114.850006104,23163.7421875,114.850006104,22911.0898438,114.850006104,22892.4453125,114.850006104,22912.1015625,114.850006104,22910.0195312,114.850006104,22831.8515625,114.850006104,22795.2128906,114.850006104,22638.1835938,114.850006104,22646.3046875,114.850006104,22557.8164062,114.850006104,22493.8867188,114.850006104,22413.8828125,114.850006104,22402.7167969,114.850006104,22317.3554688,114.850006104,22293.5839844,114.850006104,22230.6328125,114.850006104,22151.9921875,114.850006104,22119.8730469,114.850006104,ADM2,36,36,DOM,DOM-ADM2-62336421B12424065,Fantino,ADM2
37,6121.16894531,76.4899902344,6084.55517578,76.4899902344,6129.52441406,76.4899902344,6163.47119141,76.4899902344,6221.52539062,76.4899902344,6166.69677734,76.4899902344,6216.22460938,76.4899902344,6362.984375,76.4899902344,6291.66503906,76.4899902344,6410.54296875,76.4899902344,6388.79394531,76.4899902344,6405.68066406,76.4899902344,6458.64453125,76.4899902344,6532.20019531,76.4899902344,6526.64013672,76.4899902344,6590.06542969,76.4899902344,6662.36669922,76.4899902344,6671.82714844,76.4899902344,6706.57177734,76.4899902344,6742.12011719,76.4899902344,6771.51855469,76.4899902344,ADM2,37,37,DOM,DOM-ADM2-62336421B71651036,Guananico,ADM2
